Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
-2.121241744,-1.230607847,-1.065084194,0.782047997,0.768589942,-0.060877563,0.012,0.02,125,0.138
-1.506812749,-1.04702586,-1.065084194,0.782047997,0.768589942,0.04104745,0.013,0.036,125,0.215
-1.897813018,-1.04702586,-1.065084194,0.782047997,0.768589942,0.04104745,0.013,0.036,125,0.215
-0.072400334,-1.384983608,-1.065084194,0.782047997,0.360397637,0.04104745,0.023,0.024,128,0.277
-0.74268651,-1.04702586,-1.020468409,0.782047997,0.768589942,-0.162802576,0.02,0.05,129,0.24
-2.121241744,-1.230607847,-1.020468409,0.782047997,0.768589942,-0.060877563,0.039,0.032,126,0.197
-2.121241744,-1.04702586,-1.020468409,0.782047997,0.768589942,0.04104745,0.007,0.041,128,0.39
-1.506812749,-1.04702586,-1.020468409,0.782047997,0.768589942,0.04104745,0.009,0.041,127,0.28
-1.897813018,-1.04702586,-1.020468409,0.782047997,0.768589942,0.04104745,0.009,0.041,127,0.28
-0.072400334,-1.384983608,-1.020468409,0.782047997,0.360397637,0.04104745,0.023,0.024,131,0.277
-1.63640141,-1.230607847,-0.975852625,0.782047997,0.768589942,-0.009915057,0.025,0.044,129,0.658
0.374457116,-1.507371599,-0.975852625,0.782047997,0.360397637,-0.122032571,0.01,0.05,134,0.3
0.374457116,-1.088749039,-0.975852625,0.782047997,0.360397637,-0.071070064,0.01,0.05,133,0.7
-1.506812749,-1.04702586,-0.975852625,0.782047997,0.768589942,0.04104745,0.008,0.037,130,0.385
-1.897813018,-1.04702586,-0.975852625,0.782047997,0.768589942,0.04104745,0.008,0.037,130,0.385
0.151028391,-1.384983608,-0.975852625,0.782047997,0.360397637,-0.009915057,0.012,0.023,133,0.47
-0.519257785,-0.953844094,-0.975852625,0.782047997,0.360397637,-0.060877563,0.008,0.025,133,0.245
-0.74268651,-0.953844094,-0.975852625,0.782047997,0.360397637,-0.060877563,0.008,0.025,133,0.245
-0.74268651,-0.695160386,-0.931236841,-1.277345062,-1.68056389,-0.060877563,0.176,0.021,150,0.169
1.268172016,0.142084735,-0.931236841,-1.277345062,0.360397637,0.04104745,0.38,0.03,152,0.02
-2.306687585,-1.230607847,-0.931236841,0.782047997,0.768589942,-0.11184007,0.033,0.052,128,0.264
-2.53011631,-1.230607847,-0.931236841,0.782047997,0.768589942,-0.11184007,0.033,0.052,128,0.264
-0.74268651,-0.96218873,-0.931236841,0.782047997,0.088269433,-0.11184007,0.046,0.052,133,0.588
-1.506812749,-0.672908024,-0.931236841,0.782047997,-0.319922872,0.04104745,0.007,0.036,134,0.232
-1.897813018,-0.672908024,-0.931236841,0.782047997,-0.319922872,0.04104745,0.007,0.036,134,0.232
0.374457116,-1.030336588,-0.931236841,0.782047997,0.360397637,-0.11184007,0.036,0.034,136,0.372
1.044743291,-1.507371599,-0.886621056,0.782047997,0.224333535,-0.009915057,0.041,0.066,142,0.584
-0.314597072,-1.090139811,-0.886621056,0.782047997,1.040718146,-0.11184007,0.01,0.05,136,0.49
0.374457116,-1.088749039,-0.886621056,0.782047997,0.360397637,-0.071070064,0.01,0.06,138,0.79
-1.506812749,-0.672908024,-0.886621056,0.782047997,-0.319922872,0.04104745,0.008,0.036,136,0.232
-1.506812749,-0.672908024,-0.886621056,0.782047997,-0.319922872,0.04104745,0.008,0.036,136,0.232
-1.897813018,-0.672908024,-0.886621056,0.782047997,-0.319922872,0.04104745,0.008,0.036,136,0.232
-0.74268651,-1.04702586,-0.886621056,0.782047997,0.768589942,-0.162802576,0.025,0.04,136,0.274
-0.74268651,-1.04702586,-0.886621056,0.782047997,0.768589942,-0.162802576,0.038,0.04,135,0.274
0.597885841,-1.384983608,-0.886621056,0.782047997,0.360397637,-0.009915057,0.01,0.019,138,0.4
0.597885841,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.378,0.05,161,0.49
0.374457116,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.378,0.05,161,0.49
0.151028391,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.378,0.05,161,0.49
-0.072400334,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.378,0.05,161,0.49
