Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),PM emissions (g/km),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
0.821314566,0.576005794,0.541084043,-1.277345062,1.176782248,-0.009915057,0.03,0.343,NA,243,0.117
1.268172016,0.576005794,0.541084043,-1.277345062,1.721038655,-0.009915057,0.03,0.396,NA,243,0.108
-1.63640141,0.564879613,0.541084043,-1.277345062,-1.136307483,0.04104745,0.0002,0.2,0.024,238,0.204
1.268172016,0.576005794,0.496468259,-1.277345062,1.176782248,-0.009915057,0.03,0.343,na,240,0.117
1.268172016,0.576005794,0.496468259,-1.277345062,1.721038655,-0.009915057,0.03,0.396,na,240,0.108
1.268172016,0.527328752,0.496468259,-1.277345062,-1.68056389,-0.009915057,0.08,0.609,,240,0.362
1.044743291,0.527328752,0.496468259,-1.277345062,-1.68056389,-0.009915057,0.08,0.609,,240,0.362
0.821314566,1.211588884,0.451852474,-1.277345062,0.360397637,0.092009956,0.03,0.616,0.104,232,0.537
0.597885841,1.211588884,0.451852474,-1.277345062,0.360397637,0.092009956,0.03,0.616,0.104,232,0.537
0.374457116,1.211588884,0.451852474,-1.277345062,0.360397637,0.092009956,0.03,0.616,0.104,232,0.537
0.597885841,0.576005794,0.451852474,-1.277345062,1.721038655,0.142972463,0.03,0.365, NA,238,0.037
-0.519257785,0.53150107,0.451852474,-1.277345062,0.768589942,0.112394959,0,0.355,0.041,232,0.483
-0.74268651,0.53150107,0.451852474,-1.277345062,0.768589942,0.112394959,0,0.355,0.041,232,0.483
0.374457116,1.14065948,0.40723669,-1.277345062,0.360397637,0.142972463,0.04,0.444,,222,0.249
-0.74268651,0.577396567,0.318005121,-1.277345062,0.360397637,0.04104745,0.04,0.273,0.047,225,0.374
-0.519257785,0.577396567,0.318005121,-1.277345062,0.360397637,0.04104745,0.04,0.273,,225,0.374
-1.63640141,0.564879613,0.318005121,-1.277345062,0.768589942,-0.009915057,0.0002,0.221,0.024,224,0.368
-0.072400334,1.231059701,0.273389337,-1.277345062,1.312846349,0.04104745,0.01,0.208,NA,224,0.274
1.268172016,0.576005794,0.273389337,-1.277345062,-1.272371585,0.092009956,0.04,0.381,,227,0.261
-0.295829059,0.573224249,0.273389337,-1.277345062,0.360397637,0.030854949,0.04,0.31,NA,221,0.08
-0.74268651,0.573224249,0.273389337,-1.277345062,0.360397637,0.030854949,0.04,0.31,NA,221,0.08
-0.519257785,-0.120771291,0.273389337,-1.277345062,0.768589942,-0.004818806,0.04,0.344,0.026,224,0.199
-0.74268651,-0.120771291,0.273389337,-1.277345062,0.768589942,-0.004818806,0.04,0.344,0.026,224,0.199
1.044743291,-0.126334382,0.273389337,-1.277345062,-1.68056389,0.04104745,0.04,0.562,,224,0.044
0.597885841,-0.126334382,0.273389337,-1.277345062,-1.68056389,0.04104745,0.05,0.607,,224,0.067
0.374457116,-0.126334382,0.273389337,-1.277345062,-1.68056389,0.04104745,0.05,0.607,,224,0.067
1.268172016,0.527328752,0.228773553,-1.277345062,0.360397637,0.066528703,0.07,0.64,,224,0.333
1.268172016,-0.258457781,0.228773553,-1.277345062,0.360397637,0.092009956,0.06,,,224,0.139
1.044743291,-0.258457781,0.228773553,-1.277345062,0.360397637,0.092009956,0.06,,,224,0.139
1.044743291,0.576005794,0.184157768,-1.277345062,-1.408435687,0.04104745,0.02,0.326,NA ,221,0.041
-0.519257785,0.147647826,0.184157768,-1.277345062,-1.272371585,-0.009915057,0,0.287,,218,0.043
-0.072400334,0.147647826,0.184157768,-1.277345062,-1.272371585,-0.009915057,0.02,0.288,0,218,0.041
-0.74268651,1.25192129,0.139541984,-1.277345062,-1.272371585,-0.060877563,0.05,0.25,NA,214,0.05
1.268172016,0.576005794,0.139541984,-1.277345062,-1.272371585,0.092009956,0.03,0.418,,219,0.086
1.044743291,0.576005794,0.139541984,-1.277345062,-1.272371585,0.092009956,0.03,0.418,,219,0.086
1.268172016,0.527328752,0.139541984,-1.277345062,0.360397637,0.066528703,0.07,0.064,,219,0.333
-0.519257785,0.147647826,0.139541984,-1.277345062,-1.272371585,-0.009915057,0,0.287,,212,0.043
-0.072400334,0.147647826,0.139541984,-1.277345062,-1.272371585,-0.009915057,0.02,0.288,0,212,0.041
-0.519257785,-0.120771291,0.139541984,-1.277345062,-1.136307483,-0.305497594,0.4,0,0.015,216,0.076
0.151028391,1.231059701,0.094926199,-1.277345062,1.312846349,0.04104745,0,0.177,NA,212,0.261
-0.519257785,-0.126334382,0.094926199,-1.277345062,-1.68056389,0.092009956,0,0.192,,210,0.097
0.151028391,-0.126334382,0.094926199,-1.277345062,-1.68056389,0.04104745,0.03,0.405,,210,0.179
-0.072400334,-0.126334382,0.094926199,-1.277345062,-1.68056389,-0.060877563,0.04,0.161,0.009,210,0.216
1.268172016,0.576005794,0.050310415,-1.277345062,1.721038655,0.04104745,0.03,0.333,NA,213,0.319
1.268172016,0.576005794,0.050310415,-1.277345062,1.721038655,-0.009915057,0.03,0.35,NA ,213,0.041
1.268172016,0.527328752,0.050310415,-1.277345062,0.360397637,0.066528703,0.08,0.682,,213,0.24
1.268172016,0.527328752,0.050310415,-1.277345062,0.360397637,0.066528703,0.08,0.682,,213,0.242
0.597885841,-0.126334382,-0.083536938,-1.277345062,0.360397637,0.092009956,0.05,0.592,,202,0.22
1.044743291,-0.126334382,-0.083536938,-1.277345062,0.360397637,0.092009956,0.05,0.624,,202,0.201
-0.295829059,0.142084735,-0.128152722,-1.277345062,0.768589942,0.005373695,0.02,0.233,0.029,201,0.137
-0.295829059,0.856941865,-0.217384291,-1.277345062,-1.408435687,-0.060877563,0,0.232,NA,194,0.35
0.597885841,0.576005794,-0.217384291,-1.277345062,0.768589942,0.092009956,0.01,0.216, NA,196,0.173
0.374457116,0.576005794,-0.217384291,-1.277345062,-1.408435687,-0.009915057,0.02,0.177,NA,197,0.158
-0.072400334,0.147647826,-0.217384291,-1.277345062,0.360397637,-0.009915057,0.05,0.315,0.038,191,0.311
-0.072400334,-0.126334382,-0.217384291,-1.277345062,-1.68056389,-0.11184007,0,0.193,0.001,191,0.056
-0.519257785,-0.126334382,-0.217384291,-1.277345062,-1.68056389,-0.11184007,0,0.242,,191,0.062
-0.74268651,1.231059701,-0.262000075,-1.277345062,1.721038655,-0.11184007,0.2,0.145,Na,189,0.152
1.268172016,0.576005794,-0.262000075,-1.277345062,0.768589942,-0.009915057,0.03,0.318,,194,0.314
1.268172016,0.576005794,-0.262000075,-1.277345062,0.768589942,-0.009915057,0.04,0.347,,194,0.509
-0.74268651,0.207451048,-0.262000075,-1.277345062,-1.136307483,-0.101647568,0.9,0.074,NA,189,0.044
-0.519257785,0.147647826,-0.262000075,-1.277345062,0.360397637,-0.009915057,0.04,0.312,,190,0.313
0.821314566,0.142084735,-0.262000075,-1.277345062,0.768589942,0.030854949,0.04,0.45,0.04,190,0.43
0.597885841,0.142084735,-0.262000075,-1.277345062,0.768589942,0.030854949,0.04,0.45,0.04,190,0.43
0.374457116,0.142084735,-0.262000075,-1.277345062,0.768589942,0.030854949,0.04,0.45,0.04,190,0.43
-0.072400334,0.142084735,-0.262000075,-1.277345062,0.768589942,0.030854949,0.04,0.45,0.04,190,0.43
0.430314297,-0.120771291,-0.262000075,-1.277345062,0.360397637,0.086913706,0.02,0.42,NA,191,0.12
1.044743291,-0.126334382,-0.262000075,-1.277345062,0.360397637,0.142972463,0.05,0.546,,192,0.406
0.597885841,-0.126334382,-0.262000075,-1.277345062,0.360397637,0.142972463,0.05,0.546,,192,0.406
0.374457116,-0.126334382,-0.262000075,-1.277345062,0.360397637,0.142972463,0.05,0.546,,192,0.406
1.268172016,-0.258457781,-0.262000075,-1.277345062,-1.272371585,-0.11184007,0.03,0.412,,194,0.131
1.268172016,-0.258457781,-0.262000075,-1.277345062,-1.272371585,-0.11184007,0.03,0.412,,194,0.131
-0.74268651,1.231059701,-0.30661586,-1.277345062,1.448910451,-0.11184007,0.04,0.172,NA,189,0.233
0.374457116,0.856941865,-0.30661586,-1.277345062,0.768589942,-0.009915057,0.02,0.215,NA,190,0.232
0.151028391,0.576005794,-0.30661586,-1.277345062,-1.408435687,-0.009915057,0.01,0.159,NA,192,0.163
0.821314566,0.576005794,-0.30661586,-1.277345062,0.768589942,0.092009956,0.02,0.3,NA,192,0.093
1.044743291,0.576005794,-0.30661586,-1.277345062,0.768589942,0.04104745,0.03,0.373,NA,192,0.311
0.597885841,0.576005794,-0.30661586,-1.277345062,-1.408435687,-0.009915057,0.04,0.288, na,192,0.022
0.430314297,-0.120771291,-0.30661586,-1.277345062,0.360397637,0.035951199,0.04,0.44,NA,190,0.08
-0.519257785,-0.126334382,-0.30661586,-1.277345062,0.768589942,0.092009956,0,0.221,,187,0.04
-0.072400334,-0.126334382,-0.30661586,-1.277345062,0.768589942,-0.009915057,0.04,0.218,0.008,187,0.148
0.151028391,-0.126334382,-0.30661586,-1.277345062,0.360397637,0.092009956,0.04,0.364,,187,0.294
0.374457116,-0.126334382,-0.30661586,-1.277345062,0.360397637,0.092009956,0.04,0.403,,190,0.441
1.268172016,-0.149977516,-0.30661586,-1.277345062,0.224333535,-0.060877563,0.04,0.388,0.029,188,0.35
1.268172016,0.576005794,-0.351231644,-1.277345062,0.768589942,-0.009915057,0.03,0.318,,189,0.314
1.044743291,0.576005794,-0.351231644,-1.277345062,0.768589942,-0.009915057,0.03,0.318,,189,0.314
1.268172016,0.576005794,-0.351231644,-1.277345062,0.768589942,-0.009915057,0.04,0.347,,189,0.509
-0.314597072,0.207451048,-0.351231644,-1.277345062,0.768589942,-0.19338008,0,0.13,NA,185,0.12
-0.072400334,-0.126334382,-0.351231644,-1.277345062,0.768589942,0.04104745,0.04,0.218,0.008,184,0.148
-0.519257785,1.231059701,-0.395847428,-1.277345062,1.312846349,0.092009956,0,0.11,NA,182,0.219
1.268172016,0.576005794,-0.395847428,-1.277345062,0.768589942,0.04104745,0.03,0.319,NA ,186,0.308
-0.519257785,-0.126334382,-0.395847428,-1.277345062,0.768589942,0.092009956,0,0.203,,180,0.064
-0.74268651,1.231059701,-0.440463213,-1.277345062,1.448910451,-0.162802576,0.09,0.165,NA,179,0.208
-0.072400334,0.856941865,-0.440463213,-1.277345062,-1.408435687,-0.009915057,0,0.188,NA,179,0.166
-0.74268651,0.207451048,-0.440463213,-1.277345062,-1.136307483,-0.009915057,1.6,0.064,NA,178,0.086
-0.314597072,-0.116598973,-0.440463213,-1.277345062,0.768589942,-0.009915057,0,0.15,NA,178,0.21
-0.519257785,-0.120771291,-0.440463213,-1.277345062,0.768589942,0.000277445,0,0.174,0.021,179,0.213
1.268172016,-0.149977516,-0.440463213,-1.277345062,0.224333535,-0.060877563,0.04,0.388,0.029,179,0.35
-0.295829059,0.856941865,-0.485078997,-1.277345062,-1.408435687,-0.060877563,0,0.141,NA,179,0.214
-0.74268651,0.207451048,-0.485078997,-1.277345062,-1.136307483,-0.009915057,0.4,0.081,NA,176,0.049
-0.295829059,-0.13606979,-0.485078997,-1.277345062,1.721038655,0.092009956,0,0.191,NA,177,0.01
-0.519257785,1.231059701,-0.529694782,-1.277345062,1.721038655,0.092009956,0,0.15,NA,172,0.131
-0.74268651,1.231059701,-0.529694782,-1.277345062,0.088269433,0.092009956,0.9,0.165,NA,174,0.208
-0.314597072,0.207451048,-0.529694782,-1.277345062,0.768589942,-0.137321323,0.02,0.22,NA,173,0.16
-0.74268651,0.207451048,-0.529694782,-1.277345062,-1.136307483,-0.009915057,0.4,0.081,NA,174,0.05
0.597885841,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.05,0.387,0.111,181,0.206
0.374457116,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.05,0.387,0.111,181,0.206
0.151028391,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.05,0.387,0.111,181,0.206
-0.519257785,-0.120771291,-0.529694782,-1.277345062,0.768589942,-0.060877563,0,0.131,0.033,174,0.359
1.268172016,-0.258457781,-0.529694782,-1.277345062,-1.272371585,-0.213765083,0.003,0.45,NA,178,0.033
1.044743291,-0.258457781,-0.529694782,-1.277345062,-1.272371585,-0.009915057,0.03,0.45,,178,0.033
0.374457116,-0.258457781,-0.529694782,-1.277345062,1.721038655,0.04104745,0.04,0.385,NA,177,0.155
1.268172016,-0.258457781,-0.529694782,-1.277345062,0.768589942,0.092009956,0.04,0.387,,178,0.463
-0.74268651,0.207451048,-0.574310566,-1.277345062,-1.136307483,-0.009915057,0.4,0.081,NA,171,0.049
0.430314297,-0.120771291,-0.574310566,-1.277345062,0.360397637,0.076721204,0.03,0.43,NA,173,0.04
0.821314566,-0.258457781,-0.574310566,-1.277345062,-1.68056389,-0.213765083,0.03,0.432,NA,176,0.115
1.268172016,-0.258457781,-0.574310566,-1.277345062,-1.68056389,-0.213765083,0.03,0.432,NA ,176,0.115
1.044743291,-0.258457781,-0.574310566,-1.277345062,-1.68056389,-0.213765083,0.03,0.432,NA ,176,0.115
-0.74268651,0.207451048,-0.61892635,-1.277345062,-1.136307483,-0.009915057,0.4,0.081,NA,169,0.05
1.268172016,0.142084735,-0.61892635,-1.277345062,0.224333535,0.142972463,0.03,0.396,0.042,168,0.212
1.044743291,0.142084735,-0.61892635,-1.277345062,0.224333535,0.142972463,0.03,0.396,0.042,168,0.212
0.597885841,0.142084735,-0.61892635,-1.277345062,0.224333535,-0.009915057,0.04,0.411,0.024,175,0.287
1.044743291,-0.126334382,-0.61892635,-1.277345062,0.360397637,0.092009956,0.04,0.327,,169,0.134
0.821314566,-0.126334382,-0.61892635,-1.277345062,0.360397637,0.092009956,0.04,0.327,,169,0.134
0.597885841,-0.126334382,-0.61892635,-1.277345062,0.360397637,0.092009956,0.04,0.327,,169,0.134
-0.295829059,-0.158322152,-0.61892635,-1.277345062,1.721038655,0.092009956,0,0.192,NA,173,0.033
-0.74268651,-0.158322152,-0.61892635,-1.277345062,1.721038655,0.092009956,0,0.192,NA,173,0.033
0.151028391,-0.158322152,-0.61892635,-1.277345062,0.768589942,-0.009915057,0.02,0.23,NA,172,0.15
1.268172016,-0.258457781,-0.61892635,-1.277345062,-1.68056389,-0.11184007,0.04,0.299,,173,0.207
1.044743291,-0.258457781,-0.61892635,-1.277345062,-1.68056389,-0.11184007,0.04,0.299,,173,0.207
-0.314597072,-0.116598973,-0.663542135,-1.277345062,0.768589942,-0.060877563,0.02,0.22,NA,167,0.1
-0.295829059,0.207451048,-0.708157919,-1.277345062,0.768589942,0.010469946,0,0.087,NA,164,0.209
-0.295829059,0.207451048,-0.708157919,-1.277345062,0.768589942,0.04104745,0,0.11,NA,163,0.11
0.374457116,0.142084735,-0.708157919,-1.277345062,0.224333535,-0.009915057,0.04,0.378,0.048,170,0.336
0.151028391,0.142084735,-0.708157919,-1.277345062,0.224333535,-0.009915057,0.04,0.378,0.048,170,0.336
0.430314297,-0.120771291,-0.708157919,-1.277345062,0.360397637,-0.060877563,0.02,0.28,NA,165,0.16
-0.74268651,-0.158322152,-0.708157919,-1.277345062,1.721038655,-0.009915057,0.01,0.121,NA,164,0.267
-0.74268651,-0.158322152,-0.708157919,-1.277345062,1.721038655,0.092009956,0.13,0.14,NA,163,0.13
1.268172016,-0.258457781,-0.708157919,-1.277345062,1.721038655,-2.405152862,0.04,0.406,NA,167,0.158
-0.295829059,0.207451048,-0.752773703,-1.277345062,0.768589942,0.04104745,0,0.11,NA,161,0.11
0.597885841,0.142084735,-0.752773703,-1.277345062,0.768589942,0.04104745,0.04,0.406,0.043,161,0.336
0.374457116,0.142084735,-0.752773703,-1.277345062,0.768589942,0.04104745,0.04,0.455,0.051,164,0.187
0.430314297,-0.120771291,-0.752773703,-1.277345062,0.360397637,0.015566197,0,0.11,NA,161,0.21
-0.072400334,-0.126334382,-0.752773703,-1.277345062,0.768589942,-0.060877563,0,0.199,0.011,163,0.085
-0.519257785,-0.126334382,-0.752773703,-1.277345062,0.768589942,-0.009915057,0,0.218,,163,0.045
0.374457116,-0.126334382,-0.752773703,-1.277345062,0.360397637,0.092009956,0.03,0.34,,160,0.15
0.151028391,-0.133288245,-0.752773703,-1.277345062,-0.047794669,-0.060877563,0.02,0.197,,165,0.092
-0.072400334,-0.158322152,-0.752773703,-1.277345062,0.768589942,-0.009915057,0.02,0.23,NA,160,0.15
0.151028391,-0.158322152,-0.752773703,-1.277345062,1.721038655,-0.009915057,0.02,0.237,,165,0.178
-0.295829059,0.207451048,-0.797389488,-1.277345062,0.768589942,-0.009915057,0.02,0.24,NA,158,0.02
0.430314297,-0.120771291,-0.797389488,-1.277345062,0.360397637,-0.009915057,0.02,0.21,NA,158,0.14
0.597885841,-0.258457781,-0.797389488,-1.277345062,-1.408435687,-0.009915057,0.03,0.455,NA,162,0.22
-0.295829059,-0.695160386,-0.797389488,-1.277345062,-1.68056389,-0.009915057,0.02,0.167,,159,0.332
0.821314566,-0.818939149,-0.797389488,-1.277345062,0.360397637,0.092009956,0.04,0.417,,158,0.16
0.374457116,-0.818939149,-0.797389488,-1.277345062,0.360397637,0.092009956,0.04,0.417,,158,0.16
-0.74268651,1.231059701,-0.842005272,-1.277345062,0.088269433,-0.060877563,0.03,0.139,NA,156,0.35
-0.295829059,0.207451048,-0.842005272,-1.277345062,0.768589942,-0.009915057,0.02,0.24,NA,156,0.02
0.597885841,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.03,0.378,0.05,161,0.49
0.374457116,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.03,0.378,0.05,161,0.49
0.151028391,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.03,0.378,0.05,161,0.49
-0.072400334,0.142084735,-0.842005272,-1.277345062,0.360397637,0.142972463,0.03,0.378,0.05,161,0.49
0.821314566,0.142084735,-0.842005272,-1.277345062,0.768589942,0.04104745,0.04,0.393,0.047,159,0.373
0.821314566,0.142084735,-0.842005272,-1.277345062,0.360397637,0.04104745,0.04,0.36,0.05,157,0.02
1.044743291,0.142084735,-0.842005272,-1.277345062,0.360397637,0.04104745,0.04,0.36,0.05,157,0.02
0.597885841,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.04,0.454,0.059,161,0.305
0.374457116,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.04,0.454,0.059,161,0.305
0.151028391,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.04,0.454,0.059,161,0.305
-0.072400334,0.142084735,-0.842005272,-1.277345062,0.768589942,0.142972463,0.04,0.454,0.059,161,0.305
0.430314297,-0.120771291,-0.842005272,-1.277345062,0.360397637,-0.009915057,0.03,0.45,NA,156,0.24
0.374457116,-0.158322152,-0.842005272,-1.277345062,-0.047794669,0.04104745,0.02,0.184,NA,159,0.196
-0.072400334,-0.158322152,-0.842005272,-1.277345062,-0.047794669,0.04104745,0.02,0.184,NA,159,0.196
0.151028391,-0.158322152,-0.842005272,-1.277345062,0.768589942,0.04104745,0.02,0.228,NA,158,0.266
0.597885841,-0.258457781,-0.842005272,-1.277345062,-1.408435687,-0.009915057,0.03,0.455,NA,159,0.184
1.044743291,-0.258457781,-0.842005272,-1.277345062,0.360397637,0.092009956,0.04,0.353,,159,0.327
-0.295829059,-0.695160386,-0.842005272,-1.277345062,-1.68056389,-0.009915057,0.02,0.167,,155,0.332
-0.74268651,0.207451048,-0.886621056,-1.277345062,0.768589942,-0.106743819,0.02,0.21,NA,154,0.18
0.430314297,-0.120771291,-0.886621056,-1.277345062,0.360397637,-0.009915057,0.02,0.21,NA,155,0.14
-0.072400334,-0.158322152,-0.886621056,-1.277345062,-0.047794669,0.04104745,0.02,0.184,NA,156,0.196
-0.519257785,-0.258457781,-0.886621056,-1.277345062,0.360397637,-0.060877563,0.02,0.191,NA,154,0.051
-0.74268651,0.207451048,-0.931236841,-1.277345062,0.768589942,0.04104745,1,0.162,NA,152,0.161
1.268172016,0.142084735,-0.931236841,-1.277345062,0.360397637,0.04104745,0.04,0.38,0.03,152,0.02
-0.295829059,-0.116598973,-0.931236841,-1.277345062,0.768589942,-0.060877563,0.02,0.2,NA,149,0.17
0.430314297,-0.120771291,-0.931236841,-1.277345062,0.360397637,0.04104745,0.01,0.23,NA,151,0.24
0.430314297,-0.120771291,-0.931236841,-1.277345062,0.360397637,-0.009915057,0.03,0.45,NA,153,0.24
0.430314297,-0.120771291,-0.931236841,-1.277345062,0.360397637,-0.060877563,0.03,0.45,NA,153,0.24
-0.519257785,-0.13606979,-0.931236841,-1.277345062,0.768589942,0.04104745,0.02,0.127,NA,149,0.188
0.151028391,-0.158322152,-0.931236841,-1.277345062,0.768589942,-0.009915057,0.02,0.239,,154,0.113
